state	power	likelihood
12600	1	-239.459
12700	1	-237.993
12800	1	-236.553
12900	1	-237.355
13000	1	-239.383
13100	1	-237.115
13200	1	-237.03
13300	1	-237.587
13400	1	-237.02
13500	1	-239.572
13600	1	-240.641
13700	1	-237.52
13800	1	-241.479
13900	1	-238.39
14000	1	-236.331
14100	1	-241.2
14200	1	-237.727
14300	1	-239.164
14400	1	-236.021
14500	1	-236.56
14600	1	-241.426
14700	1	-236.435
14800	1	-237.152
14900	1	-239.871
15000	1	-237.693
15100	1	-237.31
15200	1	-238.193
15300	1	-237.691
15400	1	-238.002
15500	1	-239.641
15600	1	-236.678
15700	1	-235.567
15800	1	-235.726
15900	1	-236.633
16000	1	-238.62
16100	1	-236.744
16200	1	-235.073
16300	1	-234.979
16400	1	-238.202
16500	1	-234.885
16600	1	-234.497
16700	1	-240.165
16800	1	-235.435
16900	1	-237.187
17000	1	-236.78
17100	1	-237.179
17200	1	-236.724
17300	1	-237.58
17400	1	-238.805
17500	1	-239.497
17600	1	-239.606
17700	1	-236.071
17800	1	-240.283
17900	1	-244.178
18000	1	-237.42
18100	1	-241.136
18200	1	-234.464
18300	1	-241.254
18400	1	-234.667
18500	1	-235.933
18600	1	-238.953
18700	1	-234.323
18800	1	-241.34
18900	1	-237.029
19000	1	-237.33
19100	1	-235.337
19200	1	-234.062
19300	1	-236.175
19400	1	-237.842
19500	1	-237.762
19600	1	-237.333
19700	1	-237.289
19800	1	-237.854
19900	1	-235.048
20000	1	-238.23
20100	1	-233.596
20200	1	-237.53
20300	1	-237.458
20400	1	-238.146
20500	1	-235.946
20600	1	-241.607
20700	1	-236.69
20800	1	-237.225
20900	1	-240.276
21000	1	-236.215
21100	1	-236.903
21200	1	-240.246
21300	1	-238.335
21400	1	-235.815
21500	1	-237.41
21600	1	-233.517
21700	1	-237.78
21800	1	-236.622
21900	1	-234.844
22000	1	-239.143
22100	1	-239.602
22200	1	-236.416
22300	1	-234.977
22400	1	-238.301
22500	1	-236.769
22600	1	-241.494
22700	1	-235.065
22800	1	-237.315
22900	1	-237.7
23000	1	-237.888
23100	1	-235.636
23200	1	-236.59
23300	1	-239.431
23400	1	-238.599
23500	1	-243.909
23600	1	-234.061
23700	1	-239.306
23800	1	-239.604
23900	1	-238.093
24000	1	-237.076
24100	1	-239.221
24200	1	-240.211
24300	1	-235.415
24400	1	-238.554
24500	1	-241.145
24600	1	-234.366
24700	1	-242.21
24800	1	-240.24
24900	1	-239.388
25000	1	-239.947
25100	1	-236.886
25200	1	-238.416
25300	1	-239.551
25400	1	-239.672
25500	1	-236.99
25600	1	-237.165
25700	1	-236.584
25800	1	-236.123
25900	1	-240.312
26000	1	-236.27
26100	1	-239.153
26200	1	-238.66
26300	1	-237.094
26400	1	-239.064
26500	1	-236.384
26600	1	-238.202
26700	1	-238.091
26800	1	-235.234
26900	1	-235.641
27000	1	-236.426
27100	1	-240.017
27200	1	-237.024
27300	1	-239.516
27400	1	-236.857
27500	1	-238.519
27600	1	-237.344
27700	1	-235.49
27800	1	-236.843
27900	1	-239.417
28000	1	-236.997
28100	1	-238.496
28200	1	-238.953
28300	1	-240.833
28400	1	-236.484
28500	1	-238.971
28600	1	-238.213
28700	1	-236.772
28800	1	-240.332
28900	1	-241.734
29000	1	-239.799
29100	1	-239.275
29200	1	-236.571
29300	1	-236.084
29400	1	-241.54
29500	1	-237.088
29600	1	-238.504
29700	1	-238.345
29800	1	-240.201
29900	1	-240.023
30000	1	-235.757
30100	1	-238.614
30200	1	-236.694
30300	1	-239.767
30400	1	-235.609
30500	1	-238.495
30600	1	-235.962
30700	1	-237.71
30800	1	-242.494
30900	1	-240.779
31000	1	-236.995
31100	1	-236.025
31200	1	-238.032
31300	1	-235.302
31400	1	-243.288
31500	1	-241.641
31600	1	-236.735
31700	1	-240.402
31800	1	-235.143
31900	1	-235.745
32000	1	-238.676
32100	1	-236.352
32200	1	-236.941
32300	1	-235.473
32400	1	-242.189
32500	1	-237.004
32600	1	-237.618
32700	1	-237.879
32800	1	-237.993
32900	1	-235.391
33000	1	-235.267
33100	1	-239.557
33200	1	-240.51
33300	1	-244.517
33400	1	-240.207
33500	1	-239.808
33600	1	-236.818
33700	1	-236.797
33800	1	-235.285
33900	1	-236.45
34000	1	-241.97
34100	1	-238.106
34200	1	-239.948
34300	1	-236.971
34400	1	-238.364
34500	1	-233.513
34600	1	-237.444
34700	1	-237.638
34800	1	-236.659
34900	1	-238.659
35000	1	-239.358
35100	1	-237.829
35200	1	-239.334
35300	1	-236.971
35400	1	-240.372
35500	1	-236.467
35600	1	-238.474
35700	1	-234.363
35800	1	-237.385
35900	1	-236.507
36000	1	-237.655
36100	1	-241.557
36200	1	-234.515
36300	1	-237.055
36400	1	-241.613
36500	1	-237.537
36600	1	-237.74
36700	1	-237.113
36800	1	-233.506
36900	1	-238.152
37000	1	-235.997
37100	1	-242.029
37200	1	-237.651
37300	1	-237.775
37400	1	-237.233
37500	1	-235.875
37600	1	-238.957
37700	1	-237.439
37800	1	-234.803
37900	1	-235.376
38000	1	-239.573
38100	1	-239.926
38200	1	-237.1
38300	1	-239.63
38400	1	-238.375
38500	1	-237.279
38600	1	-238.284
38700	1	-236.056
38800	1	-235.093
38900	1	-236.848
39000	1	-237.454
39100	1	-242.579
39200	1	-234.417
39300	1	-235.478
39400	1	-237.663
39500	1	-235.18
39600	1	-237.062
39700	1	-233.882
39800	1	-236.043
39900	1	-235.097
40000	1	-241.413
40100	1	-240.013
40200	1	-237.279
40300	1	-235.638
40400	1	-241.988
40500	1	-239.666
40600	1	-241.467
40700	1	-235.335
40800	1	-242.275
40900	1	-240.77
41000	1	-236.442
41100	1	-235.309
41200	1	-237.109
41300	1	-239.035
41400	1	-241.908
41500	1	-239.133
41600	1	-235.894
41700	1	-241.263
41800	1	-234.841
41900	1	-236.924
42000	1	-235.119
42100	1	-236.602
42200	1	-235.566
42300	1	-236.327
42400	1	-236.997
42500	1	-238.791
42600	1	-236.561
42700	1	-234.232
42800	1	-239.67
42900	1	-237.382
43000	1	-238.658
43100	1	-239.198
43200	1	-239.538
43300	1	-240.178
43400	1	-235.106
43500	1	-237.445
43600	1	-237.153
43700	1	-236.581
43800	1	-237.064
43900	1	-236.875
44000	1	-238.204
44100	1	-236.802
44200	1	-237.066
44300	1	-240.908
44400	1	-237.942
44500	1	-240.741
44600	1	-245.554
44700	1	-232.965
44800	1	-236.135
44900	1	-238.248
45000	1	-233.483
45100	1	-237.708
45200	1	-236.498
45300	1	-239.303
45400	1	-236.616
45500	1	-236.763
45600	1	-236.753
45700	1	-236.168
45800	1	-237.613
45900	1	-235.52
46000	1	-237.562
46100	1	-236.358
46200	1	-235.753
46300	1	-238.113
46400	1	-241.034
46500	1	-238.801
46600	1	-240.069
